No.	--date & time --	temp1(cel)	temp2(cel)
1	2023-08-14 16:15:56	 26.0	 26.5
2	2023-08-14 16:15:58	 25.7	 26.2
3	2023-08-14 16:15:59	 26.0	 26.0
4	2023-08-14 16:16:00	 26.0	 26.0
5	2023-08-14 16:16:01	 26.0	 26.2
6	2023-08-14 16:16:02	 25.7	 26.0
7	2023-08-14 16:16:03	 26.0	 26.0
8	2023-08-14 16:16:04	 25.5	 26.5
9	2023-08-14 16:16:06	 26.2	 26.2
10	2023-08-14 16:16:07	 25.7	 26.2
11	2023-08-14 16:16:08	 26.2	 26.5
12	2023-08-14 16:16:09	 26.0	 26.0
13	2023-08-14 16:16:10	 25.7	 25.7
14	2023-08-14 16:16:11	 25.7	 26.2
15	2023-08-14 16:16:12	 26.0	 26.5
16	2023-08-14 16:16:13	 25.5	 26.0
17	2023-08-14 16:16:15	 25.5	 26.0
18	2023-08-14 16:16:16	 26.0	 25.7
19	2023-08-14 16:16:17	 26.2	 26.0
20	2023-08-14 16:16:18	 26.0	 26.0
21	2023-08-14 16:16:19	 26.2	 26.5
22	2023-08-14 16:16:20	 26.2	 26.2
23	2023-08-14 16:16:21	 26.2	 26.2
24	2023-08-14 16:16:22	 26.2	 26.0
25	2023-08-14 16:16:24	 26.0	 26.5
26	2023-08-14 16:16:25	 25.7	 26.0
27	2023-08-14 16:16:26	 25.5	 26.0
28	2023-08-14 16:16:27	 26.2	 26.2
29	2023-08-14 16:16:28	 26.0	 26.0
