No.	--date & time --	temp(cel)
1	2023-07-27 12:13:30	29.25
2	2023-07-27 12:13:31	29.50
3	2023-07-27 12:13:32	29.50
4	2023-07-27 12:13:33	30.00
5	2023-07-27 12:13:34	30.50
6	2023-07-27 12:13:35	30.25
7	2023-07-27 12:13:37	31.00
8	2023-07-27 12:13:38	31.00
9	2023-07-27 12:13:39	31.25
10	2023-07-27 12:13:40	31.50
11	2023-07-27 12:13:41	32.25
12	2023-07-27 12:13:42	32.75
13	2023-07-27 12:13:43	32.50
14	2023-07-27 12:13:44	32.50
15	2023-07-27 12:13:45	33.25
16	2023-07-27 12:13:47	33.75
17	2023-07-27 12:13:48	34.00
18	2023-07-27 12:13:49	34.00
19	2023-07-27 12:13:50	33.75
20	2023-07-27 12:13:51	34.00
21	2023-07-27 12:13:52	34.25
22	2023-07-27 12:13:53	34.25
23	2023-07-27 12:13:55	34.00
24	2023-07-27 12:13:56	34.75
25	2023-07-27 12:13:57	35.00
26	2023-07-27 12:13:58	34.50
27	2023-07-27 12:13:59	35.25
28	2023-07-27 12:14:00	35.25
29	2023-07-27 12:14:01	34.75
